Archivo,Porcentaje de Plagio,Fuentes
FID-001.txt,14.855760341609333,
FID-002.txt,12.348245453763083,
FID-003.txt,10.737229429894182,
FID-004.txt,18.069689456798837,
FID-005.txt,78.53552343790173,org-023.txt
FID-006.txt,15.38652391929679,
FID-007.txt,17.662579749356855,
FID-008.txt,13.933271832066524,
FID-009.txt,20.13595762514601,
FID-010.txt,97.70590877518683,org-091.txt
FID-011.txt,11.571429463400971,
FID-012.txt,24.905109359876327,
FID-013.txt,19.640292029632782,
FID-014.txt,75.9717315566775,org-019.txt
FID-015.txt,99.38759267341351,org-034.txt
FID-016.txt,99.0460527398102,org-046.txt
FID-017.txt,14.86741911655417,
FID-018.txt,100.0,org-057.txt
FID-019.txt,23.165978313031555,
FID-020.txt,23.165978313031555,
